id	lat	lon	title	description	icon	iconSize	iconOffset
175	42.87188	131.395553	Хасанский район	Приморский край, Хасанский район, Славянское городское поселение, пгт. Славянка, Молодежная, 1	/static/images/tik.png	18,32	-9,-32
176	43.963177	133.051255	Анучинский район	Приморский край, Анучинский район, c.Анучино., Лазо, 6	/static/images/tik.png	18,32	-9,-32
177	43.355177	132.195359	Артем	Приморский край, город Артем, Кирова, 48, каб. 228	/static/images/tik.png	18,32	-9,-32
178	46.441678	134.296392	Пожарский район	Приморский край, Пожарский район, пгт Лучегорск, Общественный центр, 1	/static/images/tik.png	18,32	-9,-32
179	43.10332	132.349518	Большой Камень	Приморский край, городской округ ЗАТО Большой Камень, г. Большой Камень, Карла Маркса, 4	/static/images/tik.png	18,32	-9,-32
180	45.474549	133.394053	Лесозаводск	Приморский край, город Лесозаводск, Будника, 119	/static/images/tik.png	18,32	-9,-32
181	42.940822	132.39412	Фокино	Приморский край, город Фокино, Постникова, 9	/static/images/tik.png	18,32	-9,-32
182	45.934679	133.757466	Дальнереченск	Дальнереченский городской округ, Победы, 13	/static/images/tik.png	18,32	-9,-32
183	45.934679	133.757466	Дальнереченский район	Приморский край, г. Дальнереченск, Ленина, 90	/static/images/tik.png	18,32	-9,-32
184	43.114483	133.137907	Партизанск	Приморский край, Партизанский городской округ, г. Партизанск, ( здание администрации ПГО, каб № 209 ) ), ул. Ленинская, д. 26 &quot;А&quot;	/static/images/tik.png	18,32	-9,-32
185	42.890906	133.079004	Партизанский район	Приморский край, Партизанский район, с. Владимиро-Александровское, Комсомольская, 45-а	/static/images/tik.png	18,32	-9,-32
186	48.459351	135.099315	Хабаровский край	г. Хабаровск, Волочаевская, 6	/static/images/tik.png	18,32	-9,-32
187	48.476771	135.062646	Хабаровский край	Хабаровск, Фрунзе, 70	/static/images/tik.png	18,32	-9,-32
188	50.255752	136.832516	Амурский район	город Амурск, проспект Мира, 11	/static/images/tik.png	18,32	-9,-32
189	48.961815	140.27186	Аяно-Майский район	Хабаровский край, Аяно-Майский район, с.Аян, Советская, 8	/static/images/tik.png	18,32	-9,-32
190	46.824351	134.252734	Бикинский район	Хабаровский край, город Бикин, пер.Советский, 2	/static/images/tik.png	18,32	-9,-32
191	49.092615	140.274213	Ванинский район	Хабаровский край, Ванинский район, Ванино поселок., Мира площадь, 1	/static/images/tik.png	18,32	-9,-32
192	51.131169	133.002585	Верхнебуреинский район	поселок Чегдомын, Центральная, 49	/static/images/tik.png	18,32	-9,-32
194	51.191732	135.966288	Комсомольск-на-Амуре	Хабаровский край, городской округ &quot;Город Комсомольск-на-Амуре&quot;, Аллея Труда, 13	/static/images/tik.png	18,32	-9,-32
195	50.545356	137.023772	Комсомольский район	Хабаровский край, г. Комсомольск-на-Амуре, ул. Краснофлотская, д. 32б	/static/images/tik.png	18,32	-9,-32
196	49.434478	136.547441	Нанайский район	Хабаровский край, Нанайский район, с.Троицкое, ул.Калинина, д.102	/static/images/tik.png	18,32	-9,-32
197	53.145003	140.723596	Николаевский район	г.Николаевск-на-Амуре, ул.Советская, 73	/static/images/tik.png	18,32	-9,-32
198	59.361240901	143.231348097	Охотский район	рп.Охотск, ул.Ленина, 16	/static/images/tik.png	18,32	-9,-32
199	47.9648884906	135.065680929	район имени Лазо	п. Переяславка., Октябрьская, 35	/static/images/tik.png	18,32	-9,-32
200	48.9578527175	140.282399766	Советско-Гаванский район	г.Советская Гавань, Советская, 25	/static/images/tik.png	18,32	-9,-32
201	50.717721	136.628095	Солнечный район	п.Солнечный, Ленина, 23	/static/images/tik.png	18,32	-9,-32
202	54.715649	135.313303	Тугуро-Чумиканский район	Хабаровский край, Тугуро-Чумиканский район, село Чумикан., пер. Советский, 3	/static/images/tik.png	18,32	-9,-32
203	48.49468	135.077495	Хабаровск (Железнодорожный район)	Хабаровский край, город Хабаровск, переулок Ленинградский, 13а	/static/images/tik.png	18,32	-9,-32
204	48.404449	135.101004	Хабаровск (Индустриальный район)	город Хабаровск, Краснореченская, 87	/static/images/tik.png	18,32	-9,-32
205	48.493677	135.040727	Хабаровск (Кировский район)	город Хабаровск, Орджоникидзе, 3	/static/images/tik.png	18,32	-9,-32
206	52.421766	136.491489	район имени Полины Осипенко	село имени Полины Осипенко, ул. Амгуньская, д. 72	/static/images/tik.png	18,32	-9,-32
207	48.565007	135.041653	Хабаровск (Краснофлотский район)	Хабаровский край, г. Хабаровск, ул. Руднева, д. 43	/static/images/tik.png	18,32	-9,-32
208	48.475266	135.064578	Хабаровск (Центральный район)	Хабаровский край, город Хабаровск, Центральный район, Фрунзе, 60	/static/images/tik.png	18,32	-9,-32
209	52.37005	140.454029	Ульчский район	село Богородское, 30 лет Победы, 54	/static/images/tik.png	18,32	-9,-32
210	46.3072100817	44.2692187428	Республика Калмыкия	г.Элиста, пл. Ленина, Дом Правительства	/static/images/tik.png	18,32	-9,-32
211	46.084142	41.925309	Городовиковский район	Республика Калмыкия, Городовиковский район, город Городовиковск, переулок Комсомольский, 3	/static/images/tik.png	18,32	-9,-32
212	45.8202716541	44.6443902142	Ики-Бурульский район	Республика Калмыкия, Ики-Бурульский район, Октябрьская, 33	/static/images/tik.png	18,32	-9,-32
213	47.307095	44.525374	Кетченеровский район	Республика Калмыкия, Кетченеровский район, п. Кетченеры, ул. Номто Очирова, 23	/static/images/tik.png	18,32	-9,-32
214	45.388954	47.362506	Лаганский район	Республика Калмыкия, Лаганский район, г.Лагань, переулок Пионерский, 6 А	/static/images/tik.png	18,32	-9,-32
215	47.949934	44.678816	Малодербетовский район	Республика Калмыкия, Малодербетовский район, село Малые Дербеты, 40 лет Победы, 1	/static/images/tik.png	18,32	-9,-32
